"Source:"	"F:\OneDrive\proje\ESP32-GATEWAY-master\HARDWARE\Hardware revision G2 type c\Hardware revision G2\ESP32-GATEWAY_Rev_G.kicad_sch"
"Date:"	"19.11.2022 13:43:11"
"Tool:"	"Eeschema (6.0.8)"
"Component Count:"	"133"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R33"	"NA/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R34"	"NA/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R35"	"NA/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R36"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R37"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R38"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R39"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R40"	"10R/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R41"	"220R/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R42"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R43"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R44"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R45"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R46"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R47"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R48"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R49"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R50"	"220R/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R51"	"10k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R52"	"NA/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R53"	"5.1k/R0603"	"ESP32-C3-DevKit-Lipo_Rev_B:R"	"Resistors:0603"	""	""
"R54"	"5.1k/R0603"	"ESP32-C3-DevKit-Lipo_Rev_B:R"	"Resistors:0603"	""	""
"RM1"	"RA1206_(4X0603)_4B8_2.2k"	"ESP32-GATEWAY_Rev_G:RA1206_(4x0603)_4B8_Smashed"	"OLIMEX_RLC-FP:R_MATRIX_4"	""	""
"RM2"	"RA1206_(4X0603)_4B8_2.2k"	"ESP32-GATEWAY_Rev_G:RA1206_(4x0603)_4B8_Smashed"	"OLIMEX_RLC-FP:R_MATRIX_4"	""	""
"RST1"	"T1107A(6x3,8x2,5MM)"	"ESP32-GATEWAY_Rev_G:SIDE_WTCM-TR(3x4)"	"OLIMEX_Buttons-FP:T1107A(6x3,8x2,5MM)"	""	""
"T1"	"DTC114YKA"	"ESP32-GATEWAY_Rev_G:DTC114YKA"	"OLIMEX_Transistors-FP:SOT23"	""	""
"U1"	"K7805-2000R3L"	"Regulator_Switching:R-78B5.0-2.0"	"K7812-2000R3L:K78122000R3L"	"2A Step-Down DC/DC-Regulator, 6.5-32V input, 5.0V fixed Output Voltage, LM78xx replacement, -40°C to +85°C, SIP3"	""
"U2"	"CH340T(SSOP20W)"	"ESP32-GATEWAY_Rev_G:CH340T(SSOP20W)"	"OLIMEX_IC-FP:SSOP-20W"	""	""
"U3"	"LAN8710A-EZC(QFN32)"	"ESP32-GATEWAY_Rev_G:LAN8710A-EZC(QFN32)"	"OLIMEX_IC-FP:QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm"	""	""
"U4"	"K7803-2000R3L"	"Regulator_Switching:R-78B3.3-2.0"	"K7812-2000R3L:K78122000R3L"	"2A Step-Down DC/DC-Regulator, 4.75-32V input, 3.3V fixed Output Voltage, LM78xx replacement, -40°C to +85°C, SIP3"	""
"U5"	"TCA9548APWR"	"Interface_Expansion:TCA9548APWR"	"Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm"	"Low voltage 8-channel I2C switch with reset, TSSOP-24"	""
"U6"	"ESP32-WROOM-32D-4MB"	"ESP32-GATEWAY_Rev_G:ESP-WROOM-32"	"OLIMEX_Cases-FP:ESP-WROOM-32_MODULE"	""	""
"U7"	"USB-C-16P-F(A40-00119-A52-12)"	"ESP32-C3-DevKit-Lipo_Rev_B:USB2.0_TYPE-C(A40-00119-A52-12)"	"Connector_USB:USB2.0_TYPE-C(A40-00119-A52-12)"	""	""
